CustomerAttributes,Product
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 51-60, 0, 1, 0","['Road-250 Red, 52', 'Mountain-200 Silver, 38', 'Road-550-W Yellow, 38', 'Road-750 Black, 52', 'Mountain-200 Black, 46', 'Sport-100 Helmet, Blue', 'Road-350-W Yellow, 48', 'Water Bottle - 30 oz.', 'Road Bottle Cage', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Half-Finger Gloves, S', 'LL Road Tire', 'Road Tire Tube', 'Mountain-500 Black, 44', 'Mountain Tire Tube', 'LL Mountain Tire', 'Sport-100 Helmet, Black']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 61-70, 0, 0, 0","['Road-350-W Yellow, 44', 'ML Road Tire', 'Road Tire Tube', 'Sport-100 Helmet, Red']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 61-70, 0, 1, 0","['Road-150 Red, 44', 'Road-650 Red, 60', 'Road-650 Red, 62', 'Road-150 Red, 48', 'Road-550-W Yellow, 48', 'Road-250 Red, 48', 'Road-250 Black, 58', 'Mountain-200 Black, 42', 'AWC Logo Cap', 'ML Road Tire', 'AWC Logo Cap', 'Road-750 Black, 48', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Short-Sleeve Classic Jersey, L', 'Touring Tire', 'Touring Tire Tube', 'Half-Finger Gloves, M', ""Women's Mountain Shorts, S"", 'Racing Socks, M', 'Road-750 Black, 52', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Mountain-400-W Silver, 46', 'Mountain Tire Tube', 'ML Mountain Tire', 'Patch Kit/8 Patches', 'Touring Tire', 'Touring Tire Tube', 'Sport-100 Helmet, Black', 'Mountain Bottle Cage', 'Road-550-W Yellow, 42', 'ML Road Tire', 'Road Tire Tube', 'Sport-100 Helmet, Blue', 'ML Mountain Tire', 'Road-550-W Yellow, 42', 'ML Road Tire', 'Patch Kit/8 Patches', 'Mountain-200 Black, 38', 'Water Bottle - 30 oz.', 'Mountain Bottle Cage', 'Short-Sleeve Classic Jersey, XL', 'Road Tire Tube', 'ML Road Tire', 'Racing Socks, L', 'Touring-3000 Blue, 44', 'Bike Wash - Dissolver', 'LL Mountain Tire', 'Mountain Tire Tube', 'Bike Wash - Dissolver', 'Sport-100 Helmet, Red', 'Road-250 Black, 44', 'Water Bottle - 30 oz.', 'AWC Logo Cap', 'Road Bottle Cage', 'Touring-2000 Blue, 60', 'AWC Logo Cap', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Black', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Road-250 Red, 58', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Black', 'Road Tire Tube', 'ML Road Tire', 'Short-Sleeve Classic Jersey, M', 'Road-750 Black, 48', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Half-Finger Gloves, M', 'Road-750 Black, 44', 'Water Bottle - 30 oz.', 'Road Bottle Cage', 'AWC Logo Cap', 'Touring Tire', 'Touring Tire Tube', 'Touring-3000 Blue, 62', 'Sport-100 Helmet, Blue', 'Touring Tire', 'Touring Tire Tube', 'LL Mountain Tire', 'Mountain Tire Tube', 'Patch Kit/8 Patches', 'Road-550-W Yellow, 48', 'Sport-100 Helmet, Black', 'Mountain-400-W Silver, 46', 'Fender Set - Mountain', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Racing Socks, M', 'Mountain-500 Silver, 40', 'Fender Set - Mountain', ""Women's Mountain Shorts, L"", 'Mountain-400-W Silver, 42', 'Long-Sleeve Logo Jersey, S', 'Mountain-200 Black, 46', 'Mountain Bottle Cage', 'Sport-100 Helmet, Blue']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 61-70, 0, 1, 1","['ML Road Tire', 'Patch Kit/8 Patches', 'Bike Wash - Dissolver', 'Mountain Tire Tube', 'Sport-100 Helmet, Black', 'AWC Logo Cap']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 71-80, 0, 0, 0","['Touring Tire Tube', 'Sport-100 Helmet, Red']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 71-80, 0, 1, 0","['Road Tire Tube', 'ML Road Tire', 'Sport-100 Helmet, Blue', 'HL Mountain Tire', 'Mountain Tire Tube', 'Fender Set - Mountain', 'Long-Sleeve Logo Jersey, S']"
"M, F, Bachelors, Clerical, Low Income, 1-2 kids, 81-90, 0, 1, 1","['ML Road Tire', 'Road Tire Tube', 'Sport-100 Helmet, Black']"
"M, F, Bachelors, Clerical, Low Income, 3-5 kids, 31-40, 0, 0, 0","['Road-550-W Yellow, 42', 'ML Road Tire', 'Road Tire Tube', 'Classic Vest, S']"
"M, F, Bachelors, Clerical, Low Income, 3-5 kids, 31-40, 0, 1, 0",['Mountain Bottle Cage']
"M, F, Bachelors, Clerical, Low Income, 3-5 kids, 41-50, 0, 0, 0","['Road-350-W Yellow, 44', 'Road Bottle Cage']"
"M, F, Bachelors, Clerical, Low Income, 3-5 kids, 41-50, 0, 1, 0","['Road-150 Red, 56', 'Road-150 Red, 44', 'Road-550-W Yellow, 40', 'Road-250 Red, 58', 'Road-550-W Yellow, 44', 'Road-550-W Yellow, 48', 'Road-550-W Yellow, 44', 'Road-250 Black, 58', 'HL Road Tire', 'Mountain-500 Silver, 52', 'Fender Set - Mountain', 'Touring-3000 Blue, 50', 'Bike Wash - Dissolver', 'Mountain-400-W Silver, 38', 'Classic Vest, M', 'Fender Set - Mountain', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Blue', 'Mountain-500 Black, 52', 'Water Bottle - 30 oz.', 'Mountain Bottle Cage', 'Touring-3000 Yellow, 62', 'Sport-100 Helmet, Blue', 'Touring Tire', 'Touring Tire Tube', 'Sport-100 Helmet, Red', 'Road-350-W Yellow, 48', 'Sport-100 Helmet, Blue', 'Road-350-W Yellow, 42', 'Short-Sleeve Classic Jersey, S', 'Road-350-W Yellow, 40', 'Long-Sleeve Logo Jersey, L', 'Touring-3000 Blue, 62', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Classic Vest, L', 'Touring-3000 Yellow, 44', 'Road Bottle Cage']"
"M, F, Bachelors, Clerical, Low Income, 3-5 kids, 81-90, 0, 0, 2","['Fender Set - Mountain', 'Long-Sleeve Logo Jersey, XL', 'HL Mountain Tire', 'Sport-100 Helmet, Blue', 'Touring Tire Tube', 'Fender Set - Mountain', 'Classic Vest, M']"
"M, F, Bachelors, Clerical, Low Income, No kids, 21-30, 0, 0, 0","['Road-650 Red, 60', 'Road-150 Red, 62', 'Road-250 Black, 52', 'Mountain-200 Silver, 42', 'Mountain-200 Black, 38', 'Road-250 Black, 48', 'Road-750 Black, 44', 'Water Bottle - 30 oz.', 'Road Bottle Cage', 'Sport-100 Helmet, Blue', 'Half-Finger Gloves, M', 'Road-250 Black, 52', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Road-350-W Yellow, 48', 'Road Tire Tube', 'ML Road Tire', 'Sport-100 Helmet, Red', 'Road-750 Black, 48', 'LL Road Tire', 'Road Tire Tube', 'Patch Kit/8 Patches', 'Touring-3000 Yellow, 44', 'Touring Tire', 'Touring Tire Tube', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, XL', 'Road-750 Black, 44', 'AWC Logo Cap', 'Road-750 Black, 44', 'Road-750 Black, 58', 'Road Tire Tube', 'LL Road Tire', 'LL Mountain Tire', 'Sport-100 Helmet, Red']"
"M, F, Bachelors, Clerical, Low Income, No kids, 21-30, 0, 1, 0","['Road-150 Red, 48', 'Road-650 Red, 48', 'Road-150 Red, 52', 'Road-150 Red, 56', 'Road-150 Red, 48', 'Road-250 Black, 48', 'Mountain-200 Silver, 38', 'Mountain-200 Black, 46', 'Road-250 Red, 48', 'Road-250 Red, 58', 'Road-250 Red, 52', 'Road-650 Red, 44', 'Road-650 Black, 48', 'Mountain-200 Black, 38', 'Long-Sleeve Logo Jersey, M', 'Road-750 Black, 48', 'Road Tire Tube', 'LL Road Tire', 'Road-750 Black, 48', 'Road-550-W Yellow, 44', 'Road-750 Black, 52', 'Water Bottle - 30 oz.', 'Road Bottle Cage', 'AWC Logo Cap', 'Road-350-W Yellow, 42', 'LL Mountain Tire', 'Mountain Tire Tube', 'Sport-100 Helmet, Blue', 'Road-250 Black, 44', 'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, XL', 'LL Mountain Tire', 'Patch Kit/8 Patches', 'Road-550-W Yellow, 42', 'Sport-100 Helmet, Black', 'Mountain-200 Silver, 46', 'Water Bottle - 30 oz.', 'Mountain Bottle Cage', 'Sport-100 Helmet, Red', 'Mountain-400-W Silver, 40', 'Mountain Tire Tube', 'ML Mountain Tire', 'Patch Kit/8 Patches', 'Mountain-200 Black, 42', 'Mountain Bottle Cage', 'Road-750 Black, 44', 'Road-350-W Yellow, 48', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Road-350-W Yellow, 42', 'Road Tire Tube', 'ML Road Tire', 'Patch Kit/8 Patches', 'Touring-1000 Yellow, 54', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Half-Finger Gloves, M', 'Road-750 Black, 44', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Touring-1000 Blue, 46', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Road-750 Black, 44']"
"M, F, Bachelors, Clerical, Low Income, No kids, 31-40, 0, 0, 0","['Road-150 Red, 52', 'Road-150 Red, 62', 'Road-150 Red, 56', 'Road-150 Red, 52', 'Mountain-200 Silver, 42', 'Road-250 Black, 58', 'Touring-1000 Blue, 60', 'Sport-100 Helmet, Red', 'AWC Logo Cap', 'Touring-2000 Blue, 46', 'Road-550-W Yellow, 40', 'Short-Sleeve Classic Jersey, M', 'Mountain-200 Black, 42', 'HL Mountain Tire', 'Mountain-200 Silver, 46', 'Mountain Tire Tube', 'HL Mountain Tire', 'Patch Kit/8 Patches', 'Bike Wash - Dissolver', 'Mountain-200 Black, 46', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Blue', 'Road-250 Black, 44', 'HL Road Tire', 'Road Tire Tube', 'Sport-100 Helmet, Red', 'Road-550-W Yellow, 44', 'Road Bottle Cage', 'Bike Wash - Dissolver', 'Fender Set - Mountain', 'Short-Sleeve Classic Jersey, XL', 'Road-750 Black, 44', 'Mountain-400-W Silver, 40', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Red']"
"M, F, Bachelors, Clerical, Low Income, No kids, 31-40, 0, 1, 0","['Road-150 Red, 52', 'Road-150 Red, 56', 'Road-150 Red, 62', 'Road-150 Red, 56', 'Road-150 Red, 56', 'Road-150 Red, 52', 'Road-150 Red, 44', 'Road-650 Red, 52', 'Road-150 Red, 52', 'Mountain-100 Silver, 42', 'Road-250 Black, 44', 'Road-650 Red, 48', 'Mountain-200 Silver, 38', 'Road-650 Red, 48', 'Mountain-200 Silver, 46', 'Road-550-W Yellow, 44', 'Road-250 Black, 44', 'Road-250 Red, 52', 'Road-250 Black, 48', 'Touring-2000 Blue, 46', 'Sport-100 Helmet, Black', 'Road-250 Red, 58', 'Sport-100 Helmet, Black', 'Road-750 Black, 44', 'LL Road Tire', 'Road Tire Tube', 'Patch Kit/8 Patches', 'Short-Sleeve Classic Jersey, S', 'Mountain-200 Black, 42', 'Water Bottle - 30 oz.', 'Mountain Bottle Cage', 'Road-750 Black, 58', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Road-350-W Yellow, 44', 'Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap', 'Touring-2000 Blue, 50', 'Sport-100 Helmet, Black', 'Road-250 Red, 58', 'Water Bottle - 30 oz.', 'Road Bottle Cage', 'Short-Sleeve Classic Jersey, XL', 'Half-Finger Gloves, S', 'Mountain-200 Black, 46', 'Water Bottle - 30 oz.', 'Mountain Bottle Cage', 'Sport-100 Helmet, Black', 'Touring-1000 Blue, 46', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Black', 'Touring-3000 Blue, 50', 'Road Bottle Cage', 'Road-550-W Yellow, 44', 'Touring-3000 Blue, 58', 'Sport-100 Helmet, Black', 'LL Mountain Tire', 'Mountain Tire Tube', 'Mountain-200 Black, 38', 'Water Bottle - 30 oz.', 'Mountain Bottle Cage', 'Sport-100 Helmet, Black', 'Touring-2000 Blue, 46', 'Road-550-W Yellow, 48', 'Sport-100 Helmet, Black', 'Touring-3000 Yellow, 62', 'Sport-100 Helmet, Black', 'Mountain-500 Silver, 42', 'Mountain-500 Black, 48', 'LL Mountain Tire', 'Patch Kit/8 Patches', 'Touring-2000 Blue, 60', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Road-750 Black, 44', 'Sport-100 Helmet, Blue', 'Half-Finger Gloves, L', 'Mountain-200 Black, 42', 'Hydration Pack - 70 oz.', 'Long-Sleeve Logo Jersey, XL', 'Road-550-W Yellow, 42', 'Road-750 Black, 58', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Black', 'Road-350-W Yellow, 44', 'Long-Sleeve Logo Jersey, XL', 'Mountain-200 Black, 46', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Blue', 'Mountain-200 Silver, 46', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Half-Finger Gloves, S', 'Road-350-W Yellow, 44', 'Long-Sleeve Logo Jersey, M', 'Road-350-W Yellow, 42', 'Water Bottle - 30 oz.', 'Road Bottle Cage', 'Mountain-200 Black, 38', 'Water Bottle - 30 oz.', 'Mountain Bottle Cage', 'Sport-100 Helmet, Blue', 'AWC Logo Cap', 'Touring-2000 Blue, 46', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, S', 'Touring-2000 Blue, 60', 'Mountain-200 Black, 42', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Bike Wash - Dissolver', 'Road-350-W Yellow, 42', 'ML Road Tire', 'Patch Kit/8 Patches', 'Mountain-200 Silver, 46', 'Mountain Bottle Cage', 'LL Mountain Tire']"
"M, F, Bachelors, Clerical, Low Income, No kids, 41-50, 0, 1, 0","['Road-650 Black, 52', 'Road-150 Red, 48', 'Road-650 Black, 62', 'Road-250 Red, 52', 'Road-250 Red, 52', 'Road-550-W Yellow, 38', 'Road-250 Red, 52', 'Mountain-200 Black, 42', 'Road-650 Black, 52', 'Road-250 Black, 52', 'Road-250 Black, 44', 'Road-250 Black, 58', 'Road-250 Red, 48', 'Road-550-W Yellow, 38', 'Sport-100 Helmet, Blue', 'Touring Tire Tube', 'Long-Sleeve Logo Jersey, L', 'Touring Tire', 'Touring Tire Tube', 'Patch Kit/8 Patches', 'All-Purpose Bike Stand', 'Touring-2000 Blue, 54', 'AWC Logo Cap', 'Mountain-400-W Silver, 40', 'Long-Sleeve Logo Jersey, M', 'Touring Tire', 'Touring Tire Tube', 'Patch Kit/8 Patches', 'LL Road Tire', 'Mountain Tire Tube', 'HL Mountain Tire', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'LL Road Tire', 'Road Tire Tube', 'Patch Kit/8 Patches', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Touring Tire Tube', 'Patch Kit/8 Patches', 'Touring Tire Tube', 'Sport-100 Helmet, Red', 'Touring-2000 Blue, 54', 'Sport-100 Helmet, Black', 'Touring Tire Tube', 'Patch Kit/8 Patches', 'Touring-1000 Yellow, 54', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Half-Finger Gloves, L', 'Road-750 Black, 58', 'Road Tire Tube', 'LL Road Tire', 'Long-Sleeve Logo Jersey, XL', 'Touring Tire Tube', 'Touring Tire Tube', 'Sport-100 Helmet, Red', 'Mountain Tire Tube', 'ML Mountain Tire', 'Sport-100 Helmet, Black', 'Touring Tire', 'Touring Tire Tube', 'Sport-100 Helmet, Blue', 'Touring Tire', 'Touring Tire Tube', 'Patch Kit/8 Patches', 'Mountain-200 Black, 38', 'Mountain Bottle Cage', 'HL Mountain Tire', 'Mountain Tire Tube', 'Mountain-200 Black, 38', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Blue', 'Touring-1000 Blue, 46', 'Water Bottle - 30 oz.', 'Road Bottle Cage', 'Mountain-400-W Silver, 40', 'Long-Sleeve Logo Jersey, S', 'AWC Logo Cap', 'Touring-2000 Blue, 50', 'Road Tire Tube', 'AWC Logo Cap', 'Touring Tire', 'Touring Tire Tube', 'Sport-100 Helmet, Black', 'Mountain-400-W Silver, 40', 'Mountain Bottle Cage', 'Sport-100 Helmet, Blue', 'AWC Logo Cap', 'Road Tire Tube', 'Sport-100 Helmet, Red', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, S', 'Touring Tire Tube', 'Sport-100 Helmet, Red', 'Touring Tire', 'Touring-2000 Blue, 50', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Short-Sleeve Classic Jersey, XL', 'Mountain-200 Black, 42', 'HL Mountain Tire', 'Mountain Tire Tube', 'Sport-100 Helmet, Blue', 'AWC Logo Cap', 'Mountain-200 Silver, 42', 'HL Mountain Tire', 'Sport-100 Helmet, Black', 'Touring Tire Tube', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Mountain-200 Black, 38', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Blue', 'Half-Finger Gloves, L', 'Touring Tire Tube', 'Touring Tire Tube', 'Patch Kit/8 Patches', 'Mountain-500 Silver, 40', 'Fender Set - Mountain', 'Sport-100 Helmet, Black', 'Mountain-500 Black, 48', 'Fender Set - Mountain', 'Patch Kit/8 Patches', 'LL Road Tire', 'AWC Logo Cap', 'LL Road Tire', 'Road Tire Tube', 'Mountain-200 Silver, 38', 'Patch Kit/8 Patches', 'Mountain-500 Silver, 44', 'LL Mountain Tire', 'Road Tire Tube', 'LL Road Tire', 'Road-750 Black, 52', 'Sport-100 Helmet, Blue', 'Touring Tire', 'Touring Tire Tube', 'Patch Kit/8 Patches']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 31-40, 0, 1, 4","[""Women's Mountain Shorts, S"", 'Long-Sleeve Logo Jersey, S']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 31-40, 1, 1, 2","['Mountain-200 Black, 38', 'HL Mountain Tire', 'Mountain Tire Tube', 'Sport-100 Helmet, Blue']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 31-40, 1, 1, 3","['Road-150 Red, 48', 'Touring-1000 Yellow, 50', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Long-Sleeve Logo Jersey, L']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 31-40, 1, 1, 4","['Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'AWC Logo Cap', 'AWC Logo Cap', ""Women's Mountain Shorts, M""]"
"M, F, Bachelors, Management, High Income, 1-2 kids, 31-40, 2, 1, 3","['Mountain Tire Tube', 'HL Mountain Tire', 'Patch Kit/8 Patches', 'Road Tire Tube', 'Sport-100 Helmet, Blue']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 31-40, 2, 1, 4","[""Women's Mountain Shorts, M"", 'Long-Sleeve Logo Jersey, S', 'Road-250 Black, 44']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 31-40, 3, 0, 3","['Touring Tire', 'Touring Tire Tube']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 31-40, 3, 1, 1","['Road-550-W Yellow, 38']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 31-40, 3, 1, 2","['Mountain-200 Black, 38', 'HL Mountain Tire', 'Mountain Tire Tube', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, S', 'Half-Finger Gloves, L']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 31-40, 3, 1, 3","['Patch Kit/8 Patches', 'HL Mountain Tire', 'Mountain Tire Tube', 'Sport-100 Helmet, Red']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 31-40, 3, 1, 4","['Road-550-W Yellow, 38', 'Touring-1000 Yellow, 50', 'Mountain-200 Silver, 46', 'HL Mountain Tire']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 41-50, 0, 1, 3","['Road-250 Black, 52', 'Mountain-200 Silver, 46', 'Fender Set - Mountain', 'Classic Vest, L']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 41-50, 0, 1, 4","['Mountain-200 Black, 38', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Sport-100 Helmet, Red']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 41-50, 1, 1, 4","['Mountain Tire Tube', 'HL Mountain Tire', 'HL Mountain Tire']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 41-50, 2, 0, 4","['Mountain-100 Black, 38', 'Touring-1000 Blue, 54', 'Road Bottle Cage', 'Water Bottle - 30 oz.', 'Hydration Pack - 70 oz.']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 41-50, 2, 1, 1","['LL Road Tire', 'Water Bottle - 30 oz.', 'Road Bottle Cage']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 41-50, 2, 1, 2","['Road-250 Red, 58', 'Mountain-200 Silver, 42', 'Mountain-200 Black, 42', 'Mountain Bottle Cage', 'Water Bottle - 30 oz.', 'Road-250 Black, 58', 'Sport-100 Helmet, Red', 'Touring-1000 Yellow, 46', 'Sport-100 Helmet, Red']"
"M, F, Bachelors, Management, High Income, 1-2 kids, 41-50, 2, 1, 3","['Mountain-200 Black, 42', 'HL Mountain Tire', 'Patch Kit/8 Patches', 'Road Tire Tube', 'Short-Sleeve Classic Jersey, S', 'AWC Logo Cap', 'Touring-3000 Yellow, 58', 'Water Bottle - 30 oz.', 'Road Bottle Cage', 'Short-Sleeve Classic Jersey, M', 'Mountain-200 Silver, 46', 'Hydration Pack - 70 oz.']"
